TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Predicted RV Semi-amplitude (m/s),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,Label
341630071,2147.01,,3,5,5,3,4,4,4,10.4,67.5,73.88,14.5,5,4,2,PC,CP,10.7047,0.007,,1,spoc-s14-s60-b0A-PC,QLP,10:22:33.98,83:05:01.41,-19.848,0.046,1.719,0.052,2459599.176807,0.0011202,26.204978226299,9.2806105e-05,5.86353229514866,0.110857144,6.089767,0.10325,5593.18217841149,95.09231,10.1549699588142,0.534976,68.2927589852749,733.184734703639,58.936455,282.108,2.516,6115.0,128.3,4.25,0.08,1.33633005619049,0.0628392,,,1.15,0.154765,"14,19,20,26,40,47,53,60",2020-08-10,2023-05-22,2026-06-22 12:03:44,,Transit
272828463,1509.01,,5,5,5,5,5,5,5,28.8,92.2,68.82,24.9,1,1,0,EB,FP,9.42218,0.006,,1,qlp-s77-ffi,QLP,23:46:21.32,60:29:13.29,8.864,0.041,-2.664,0.035,2460423.100949,0.0017674,1.577609,4.6e-06,1.646,0.22,1.146056,0.061723,1055.0,56.8475,9.73924,0.549393,2982.64,2058.0,33.0,431.14,4.9715,7856.0,606.1,3.78,0.1,2.91,0.14,,,1.872,0.398265,"17,18,24,57,58,77",2019-12-05,2024-07-25,2025-07-31 12:59:22,Likely EB; depth-aperture correlation; V-shaped,False Positive
451599528,1104.01,,5,5,5,5,5,5,5,9.1,249.8,317.0,26.7,0,1,0,EB,FP,7.5622,0.006,,1,spoc-s01-s69-b0A-PC,QLP,18:38:53.11,-85:42:32.89,147.495,0.214,-42.057,0.258,2458702.256022,0.0010238745,341.2791675905754,0.0006750981,7.013249216358265,0.046416126,9.359708,0.046108,8583.558465157721,42.46579,21.4801659031444,3.235068,2.3578554724767486,316.0450879554089,228.82478,70.0154,0.6784,6058.6,110.5,4.2,0.08,1.3920300006866455,0.060098,,,1.13,0.152876,"12,13,27,39,66,67",2019-08-15,2025-07-14,2026-06-03 12:19:02,TFOP FP/SEB1; retired as EB; EB at ~171 d (half alerted TESS period),False Positive
256364928,4470.01,,5,5,5,5,5,5,5,1172.7,2802.3,116.88,64.4,1,0,4,KP,KP,6.8481,0.006,,1,spoc-s14-s55-b0A-KP,SPOC/QLP,20:00:43.71,22:42:35.19,-3.294,0.043,-250.225,0.049,2459770.410421,3.4337467e-05,2.21857480391221,1.7653721e-07,1.82336213680771,0.0016358565,28.44011,0.022421,25854.2144559256,20.650656,13.3010355046919,0.9522985,348.150619474531,1101.69541659719,1480.6505,19.7638,0.01275,5023.0,142.5,4.58,0.1,0.77648401260376,0.0555905,0.02,0.1,0.84,0.10566,"41,54",2021-10-07,2023-03-15,2025-07-31 12:59:22,HD 189733 b,Transit
468828873,1672.01,,5,5,5,5,5,5,5,9.0,41.5,23.35,8.7,1,2,5,EB,FP,10.045,0.009,,1,qlp-s60-ffi,QLP,06:07:29.29,66:51:27.72,-19.652,0.06,-36.157,0.073,2459957.440794,0.0023666,3.8954139,1.44e-05,2.832,0.416,0.989556,0.044039,911.0,40.5608,5.15915,0.301122,566.299,1359.0,21.0,281.902,4.53,6064.0,132.1,3.94,0.08,1.89,0.09,,,1.13,0.143753,"18,19,20,59,60",2020-01-29,2023-02-13,2025-07-31 12:59:22,TFOP NEB/FP on 468828877; flux depth aperture correlation,False Positive
366443426,4304.01,,1,4,1,2,5,4,5,2.5,39.9,6.55,1.4,32,12,0,KP,KP,8.4642,0.006,,1,qlp-s72-ffi,SPOC,08:26:27.8,10:04:49.33,-48.143,0.104,0.059,0.059,2460266.657375,0.0049241,15.5718552,2.91e-05,4.931,0.297,0.412658,0.010859,380.0,10.0018,2.44317,0.137602,115.206,912.0,44.0,106.289,0.672,6352.33,149.652,4.30502,0.0955413,1.31,0.07,0.021,0.013,1.261,0.194835,"7,34,44,45,46,61,72",2021-07-19,2024-02-01,2025-07-31 12:59:22,HIP 41378 b,Transit
22020459,2936.01,,5,5,5,5,5,5,5,10.1,36.3,42.61,20.2,0,0,1,EB,FP,12.5961,0.008,,1,qlp-s09-faintsearch,FAINT,09:51:24.87,-25:35:38.09,-2.838,0.056,2.228,0.058,2459988.479583,0.0052641598,1.3328042,1e-05,2.75,0.284,2.130131,0.002843,1960.0,2.6188,7.33432,0.496805,5718.54,2422.0,14.0,923.797,26.82,6561.0,135.8,4.12,0.09,1.67,0.09,,,1.36,0.22029,"8,9,35,62",2021-06-04,2024-08-22,2025-07-31 12:59:22,found in faint-star QLP search,False Positive
5772442,979.01,,5,5,5,5,5,5,5,20.3,55.9,41.88,25.2,1,2,7,PC,FP,10.351,0.006,,1,qlp,QLP,07:27:03.95,-07:07:46.91,-26.859,0.176,-13.631,0.137,2458492.50181,0.00278,1.10578,0.00022,1.87,0.207,0.730428,0.001051,672.523,0.968288,7.4741,0.662273,2163.51,1900.0,20.0,414.876,20.5,5650.4,227.6,4.32,2.0,2.62,0.21,,,1.044,0.124647,7,2019-07-24,2019-07-24,2025-07-31 12:59:22,Saturn-sized; Slight centroid shift; potentially blended (BEB or diluted planet); need SG1 to check,False Positive
367333043,3938.01,,5,5,5,5,5,5,5,10.6,44.4,42.41,17.3,1,0,0,PC,FP,13.2875,0.006,,1,qlp-s24-faintsearch,FAINT,22:14:39.21,68:41:07.13,5.923,0.027,0.588,0.024,2458979.960331,0.0055953,2.8778095,0.0001002,2.824,0.524,5.256811,0.013293,4830.0,12.2433,7.35828,,1005.2,1568.0,15.0,617.366,5.6955,6131.0,122.0,4.46,,1.05,,,,1.16,,"17,18,24",2021-06-23,2024-08-22,2025-07-31 12:59:22,found in faint-star QLP search,False Positive
291751373,6017.01,,5,5,5,5,5,5,5,39.1,37.2,317.0,132.9,0,0,0,KP,KP,12.355,0.01,,1,spoc-s57-b02,SPOC,23:56:36.47,36:12:46.64,-7.763,0.076,-8.484,0.047,2459855.494899,0.0016258125,2.50791765457186,0.00026065356,3.06522694989512,0.14003949,7.624101,0.272669,6997.45912122021,251.10559,14.7176429841674,1.7681618,2704.95555796288,1839.33054515888,21.09248,735.601,32.093,6207.39,290.028,4.03891,0.152399,1.72724997997284,0.187982,-0.069,0.275,1.19,0.206923,57,2022-12-15,2022-12-15,2025-07-31 12:59:22,Qatar-3 b,Transit
457939414,1990.01,,5,5,5,5,5,5,5,86.0,263.2,95.18,35.8,0,13,3,PC,FP,10.1574,0.006,,1,spoc,QLP,10:34:40.95,-59:44:54.54,-15.942,0.046,7.618,0.045,2459281.710853,0.0040747663,3.78995239619699,0.0010899372,5.52684011419759,0.20403641,4.728279,0.342822,4345.43734321077,315.7013,11.7871267235434,6.0611277,602.159080942888,1263.41945336029,12.181036,171.127,0.725,5579.5,213.4,4.22,2.01,1.10456001758575,0.0517186,,,1.14,0.155013,"10,36",2020-06-17,2020-06-17,2025-07-31 12:59:22,Crowded field; secondary; synchronized; TFOP FP; retired as EB,False Positive
119585136,5634.01,,3,5,5,3,4,4,4,27.0,79.8,67.24,51.1,7,0,3,PC,CP,14.9839,0.008,,1,qlp-s49-faintsearch,FAINT,11:42:34.47,20:57:55.05,-61.148,0.121,-25.733,0.13,2459663.422584,0.0042523,2.2054776,0.0007857,1.633,0.285,31.147146,0.159443,28280.0,146.842,9.6722,0.790385,64.0804,788.0,10.0,306.144,9.566,3770.0,157.0,4.71,0.01,0.53,0.02,,,0.523612,0.0232803,49,2022-06-02,2024-08-22,2025-07-31 12:59:22,found in faint-star QLP search,Transit
262781201,6096.01,,5,5,5,5,5,5,5,5.8,51.2,6.45,3.0,0,0,1,EB,FP,9.34567,0.006,,1,qlp-s71-ffi,QLP,09:25:36.85,03:39:42.97,-25.891,0.086,2.717,0.083,2460283.55214,0.003305,1.3154261,5.1e-06,2.121,0.971,0.309479,0.033933,285.0,31.2532,2.42354,0.179737,11290.9,2871.0,17.0,181.94,1.5435,6613.8,98.6,4.28,0.08,1.42,0.05,0.039,0.01,1.384,0.23168,"8,35,45,46,61,72",2023-03-23,2023-12-20,2025-07-31 12:59:22,possible centroid offset to S; retired as TFOP FP/NEB,False Positive
